"","X.Stratification.of.the.raw.number.of.answers.by.gender..age.and.level.of.education..M.male..Y.female..Y..20..39..years.old..A..40..59...S.60...L....A.levels...H...A.levels..","Question","Answers","M.Y.L","M.A.L","M.S.L","M.Y.H","M.A.H","M.S.H","F.Y.L","F.A.L","F.S.L","F.Y.H","F.A.H","F.S.H"
"1","Stratification of the raw number of answers by gender, age and level of education. M=male, Y=female, Y=[20, 39] years-old, A=[40, 59], S=60+, L=(<=A-levels), H=(>A-levels)","Q4","yes","6","42","244","62","238","471","7","68","244","78","367","456"
"2","Stratification of the raw number of answers by gender, age and level of education. M=male, Y=female, Y=[20, 39] years-old, A=[40, 59], S=60+, L=(<=A-levels), H=(>A-levels)","Q11a","more or less likely/most likely","9","62","326","84","317","564","8","147","407","124","589","694"
"3","Stratification of the raw number of answers by gender, age and level of education. M=male, Y=female, Y=[20, 39] years-old, A=[40, 59], S=60+, L=(<=A-levels), H=(>A-levels)","Q12","with an antigenic test, but only if it costs less than 20 euros","1","7","38","11","44","77","2","17","44","19","90","100"
"4","Stratification of the raw number of answers by gender, age and level of education. M=male, Y=female, Y=[20, 39] years-old, A=[40, 59], S=60+, L=(<=A-levels), H=(>A-levels)","Q13","as soon as possible, i.e. within 24 hours from the beginning of symptoms","5","40","167","59","219","330","4","92","241","85","399","401"
"5","Stratification of the raw number of answers by gender, age and level of education. M=male, Y=female, Y=[20, 39] years-old, A=[40, 59], S=60+, L=(<=A-levels), H=(>A-levels)","Q13","the next day or afterwards","1","13","108","17","72","167","2","36","111","28","145","191"
"6","Stratification of the raw number of answers by gender, age and level of education. M=male, Y=female, Y=[20, 39] years-old, A=[40, 59], S=60+, L=(<=A-levels), H=(>A-levels)","Q14","yes, a second time if symptoms persist","4","28","150","48","175","289","3","81","218","63","348","402"
"7","Stratification of the raw number of answers by gender, age and level of education. M=male, Y=female, Y=[20, 39] years-old, A=[40, 59], S=60+, L=(<=A-levels), H=(>A-levels)","Q14","yes, at least three times if also my successive tests result negative but symptoms persist","0","6","25","5","26","39","0","2","24","11","51","60"
"8","Stratification of the raw number of answers by gender, age and level of education. M=male, Y=female, Y=[20, 39] years-old, A=[40, 59], S=60+, L=(<=A-levels), H=(>A-levels)","Q16a","more or less likely/most likely","9","51","278","74","262","478","4","120","357","114","512","582"
"9","Stratification of the raw number of answers by gender, age and level of education. M=male, Y=female, Y=[20, 39] years-old, A=[40, 59], S=60+, L=(<=A-levels), H=(>A-levels)","Q17","with an antigenic test, but only if it costs less than 20 euros","1","5","20","6","33","44","1","12","38","13","54","61"
"10","Stratification of the raw number of answers by gender, age and level of education. M=male, Y=female, Y=[20, 39] years-old, A=[40, 59], S=60+, L=(<=A-levels), H=(>A-levels)","Q18a","more or less likely/most likely","10","60","338","84","321","582","9","147","424","128","590","708"
"11","Stratification of the raw number of answers by gender, age and level of education. M=male, Y=female, Y=[20, 39] years-old, A=[40, 59], S=60+, L=(<=A-levels), H=(>A-levels)","Q20","more or less likely/most likely","8","59","321","80","318","562","9","143","407","129","571","682"
"12","Stratification of the raw number of answers by gender, age and level of education. M=male, Y=female, Y=[20, 39] years-old, A=[40, 59], S=60+, L=(<=A-levels), H=(>A-levels)","Q22a","more or less likely/most likely","8","56","319","81","309","553","7","135","399","127","553","678"
"13","Stratification of the raw number of answers by gender, age and level of education. M=male, Y=female, Y=[20, 39] years-old, A=[40, 59], S=60+, L=(<=A-levels), H=(>A-levels)","Q24","more or less likely/most likely","6","53","300","72","282","519","6","125","382","115","515","644"
